contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration_date
IBIT241220C00067000,2024-11-22 20:59:15+00:00,67.0,1.2,1.1,1.2,0.0,0.0,99.0,565.0,0.6806672558593752,False,REGULAR,USD,2024-12-20
IBIT241220C00068000,2024-11-22 20:48:02+00:00,68.0,1.05,1.0,1.1,-0.04000008,-3.669732,883.0,2276.0,0.6921417504882813,False,REGULAR,USD,2024-12-20
IBIT241220C00069000,2024-11-22 20:01:47+00:00,69.0,0.92,0.9,1.0,-0.07999998,-7.999998,200.0,331.0,0.70117486328125,False,REGULAR,USD,2024-12-20
IBIT241220C00070000,2024-11-22 20:57:09+00:00,70.0,0.83,0.8,0.85,-0.100000024,-10.75269,3350.0,6499.0,0.700198310546875,False,REGULAR,USD,2024-12-20
IBIT241220C00075000,2024-11-22 20:55:07+00:00,75.0,0.52,0.5,0.55,-0.04000002,-7.1428614,1918.0,3877.0,0.747072841796875,False,REGULAR,USD,2024-12-20
IBIT241220C00080000,2024-11-22 20:46:12+00:00,80.0,0.4,0.35,0.4,0.030000001,8.1081085,630.0,2979.0,0.8027363476562499,False,REGULAR,USD,2024-12-20
IBIT241220C00085000,2024-11-22 20:17:44+00:00,85.0,0.27,0.25,0.3,0.02000001,8.000004,853.0,638.0,0.851563984375,False,REGULAR,USD,2024-12-20
IBIT241220C00090000,2024-11-22 20:17:44+00:00,90.0,0.23,0.15,0.25,0.030000001,15.000001,289.0,472.0,0.8906260937499999,False,REGULAR,USD,2024-12-20
IBIT241220C00095000,2024-11-22 20:30:20+00:00,95.0,0.2,0.15,0.2,0.040000007,25.000006,24.0,443.0,0.9511723632812499,False,REGULAR,USD,2024-12-20
IBIT241220C00100000,2024-11-22 20:59:24+00:00,100.0,0.13,0.1,0.15,0.009999998,8.333332,3220.0,12381.0,0.97460962890625,False,REGULAR,USD,2024-12-20
IBIT250117C00030000,2024-11-22 20:35:54+00:00,30.0,27.18,27.0,27.3,0.7200012,2.7210932,198.0,157.0,1.1494183154296875,True,REGULAR,USD,2025-01-17
IBIT250117C00031000,2024-11-21 14:42:49+00:00,31.0,25.0,26.0,26.3,0.0,0.0,1.0,1.0,1.0996138769531252,True,REGULAR,USD,2025-01-17
IBIT250117C00035000,2024-11-21 18:23:28+00:00,35.0,21.9,0.0,0.0,1.7999992,8.95522,,,1.0000000000000003e-05,True,REGULAR,USD,2025-01-17
IBIT250117C00038000,2024-11-20 14:37:05+00:00,38.0,16.2,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-01-17
IBIT250117C00039000,2024-11-19 15:38:41+00:00,39.0,14.75,18.3,18.6,0.0,0.0,1.0,1.0,0.8300798242187499,True,REGULAR,USD,2025-01-17
IBIT250117C00040000,2024-11-22 20:51:59+00:00,40.0,17.6,17.4,17.8,0.10000038,0.57143074,1204.0,984.0,0.8242205078124999,True,REGULAR,USD,2025-01-17
IBIT250117C00041000,2024-11-22 16:49:43+00:00,41.0,16.67,16.5,16.8,0.17000008,1.0303035,8.0,2.0,0.7922384057617188,True,REGULAR,USD,2025-01-17
IBIT250117C00042000,2024-11-22 14:30:24+00:00,42.0,15.2,15.6,15.9,0.5,3.4013608,4.0,6.0,0.7709983837890625,True,REGULAR,USD,2025-01-17
IBIT250117C00043000,2024-11-21 14:33:03+00:00,43.0,14.02,14.8,15.0,0.0,0.0,2.0,18.0,0.7578149218750001,True,REGULAR,USD,2025-01-17
